"","(Intercept)","LotArea","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","TotalBsmtSF","BsmtFullBath","FullBath","HalfBath","Bedroom","Kitchen","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","WoodDeckSf","EnclosedPorch","ScreenPorch","Miscval"
"Bedroom",-0.197265766672867,-0.0485767872868966,0.0206608387270987,0.179760105723519,0.0462516072184818,0.0591231826010947,0.0198462243296614,0.0406965573592086,-0.150714045798297,-0.0779633976052517,1,0.0441005444873337,-0.550503884659144,0.119883219559224,0.0574787525511471,0.0112057992670543,-0.00527456051992509,-0.00748675348245492,-0.0134388451840206,0.0582517306425699
"Kitchen",-0.257323486182758,0.0656545250155813,0.0702225605243697,0.179417470988946,0.0460193192695366,0.0107151207234861,0.0630884062533843,-0.0821533040449607,-0.100804425742381,0.102257230779717,0.0441005444873337,1,-0.242668200728035,0.136530086064767,-0.0863101856236369,0.0151680056712056,0.0744440832562981,0.0735790480039546,0.0548823727536664,-6.96693823730776e-05
"TotRmsAbvGrd",-0.0555441747651684,-0.0854107909684444,0.226052474334217,-0.125354240355597,-0.131645474282263,0.011057202972873,-0.149906447599418,0.00285900034093219,-0.246392639829223,-0.283747143315783,-0.550503884659144,-0.242668200728035,1,-0.176176015721385,-0.0936362283536668,-0.0288037917385493,-0.0353922943351039,-0.00717040679260301,0.0281552460493547,-0.06835101367497
"Fireplaces",-0.0858825888997605,-0.0912693304268479,0.0532402996122016,0.0474047117492834,-0.062055287271645,-0.108508427220191,-0.10452097047141,-0.00982285794573313,-0.082030916943626,-0.112974945641979,0.119883219559224,0.136530086064767,-0.176176015721385,1,-0.0740006840025538,0.0842362037691801,-0.0983946111592308,-0.0447291071135512,-0.142089496810171,0.0644265145391675
"GarageCars",0.170500079736272,0.00211969703519653,-0.147591202323712,-0.0626473045295599,-0.0177489535506706,0.0836963573786726,-0.00106429437158333,-0.0364894373542233,-0.129837163438396,-0.0593336439263241,0.0574787525511471,-0.0863101856236369,-0.0936362283536668,-0.0740006840025538,1,-0.740070123503327,-0.00816014308334704,-0.0105962297029328,0.0139692731336176,0.0504569912066287
"GarageArea",0.0183550991942847,-0.0876808332588,-0.00561074432032943,-0.01605883685593,-0.0619647845543572,-0.0685306690805866,-0.148260035971398,0.0164367162630532,0.0371828476946782,0.026049107782067,0.0112057992670543,0.0151680056712056,-0.0288037917385493,0.0842362037691801,-0.740070123503327,1,-0.0234409018415324,-0.0437714066071033,-0.0399695419389456,-0.00631135940304394
"WoodDeckSf",0.0778391108297596,-0.0574175566909555,-0.011395377285468,-0.075159253999161,-0.0163329525009988,-0.0572760997442579,-0.0138462292079147,-0.0395560058268381,-0.0131829369700334,-0.0232713001826154,-0.00527456051992509,0.0744440832562981,-0.0353922943351039,-0.0983946111592308,-0.00816014308334704,-0.0234409018415324,1,0.055740549897654,0.104304807505783,-0.0628309719806893
"EnclosedPorch",-0.25101916706597,-0.00295692983021806,0.298121808087859,0.0196087446409568,0.0403415106269838,0.0405840489069412,-0.0421108228330457,-0.0363888217041333,-0.0258934628567061,-0.0258370574794799,-0.00748675348245492,0.0735790480039546,-0.00717040679260301,-0.0447291071135512,-0.0105962297029328,-0.0437714066071033,0.055740549897654,1,0.111011043357179,-0.00246287921125083
"ScreenPorch",-0.107728057901888,-0.0327083866400546,0.101254275934647,0.0285868082435572,-0.022352142529592,-0.0180046395996876,-0.0306165562300677,-0.0191946966252129,-0.0168970924196106,-0.0431440720403843,-0.0134388451840206,0.0548823727536664,0.0281552460493547,-0.142089496810171,0.0139692731336176,-0.0399695419389456,0.104304807505783,0.111011043357179,1,-0.010540836980651
"Miscval",-0.0211102901808183,-0.041793305463018,0.0277417711452259,0.000955067210702445,-0.0149281494945085,-0.0990090514874623,-0.0817187010712965,0.0914557996143438,0.0292599365997709,-0.0438103341922038,0.0582517306425699,-6.96693823730776e-05,-0.06835101367497,0.0644265145391675,0.0504569912066287,-0.00631135940304394,-0.0628309719806893,-0.00246287921125083,-0.010540836980651,1
