"","(Intercept)","LotFrontage","LotArea","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmFinSF2","TotalBsmtSF","`1stFlrSF`","`2ndFlrSF`","LowQualFinSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","Bedroom","Kitchen","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSf","OpenPorchSF","EnclosedPorch","`3SsnPorch`","ScreenPorch","PoolArea","Miscval","Mosold","YrSold"
"`2ndFlrSF`",-202049.737736351,10.1103888779805,-0.0234418439398427,57.2211877425218,-17.9513734993623,-2.61089209950779,-0.465392610728356,0.7287960448601,0.173240825847055,10.8167615720074,17.5438774788502,8.81714507499504,-110.239298365457,395.628351636584,-4452.54736390323,-4890.93442884616,-744.118789362625,2462.61253549335,-2014.08541959596,-884.435416682889,1.0581793637064,298.279380873865,-4.04564655737809,-2.16250691798189,-6.76960875760033,-3.54317065164979,-1.41301076079904,-0.635729415401726,-11.7043484953238,0.00779359190870956,4.74652363404613,63.7576770721372
"LowQualFinSF",615949.579838725,33.6385001650798,-0.00139621349393025,142.366674320828,27.8048050199164,2.08089524915565,1.3241242400734,1.38028945582835,-0.214101076236068,4.97162212895252,8.81714507499504,350.288746719218,-649.223781446695,267.567661070743,-2520.02138425236,-1073.25090114489,6.97675496212317,7699.65293817812,-2620.8165518999,-559.379776720472,-96.370052577954,80.2034989467602,-1.38601790495654,-1.00528674499493,-5.69820002696782,-12.7877163690053,-4.36983835360107,-3.2226555134202,-23.8818226454265,0.295887886066733,-112.91632148112,-377.796171182328
"BsmtFullBath",62679313.4003004,2583.97862529956,-10.0076518497739,-9335.88062695519,-9584.2286509785,346.213556497106,-3796.61582657024,-3551.0601655268,231.814636793007,422.971723846609,-110.239298365457,-649.223781446695,4947594.14134433,2262418.81811583,784165.225076517,403862.923546034,110260.505596546,-889724.749445355,-19096.1742447657,-57223.2918873485,2067.84649905917,-306319.304057739,256.378924640421,-532.113329404495,-594.234209859814,-924.727006795096,-1360.90439410819,-260.985538481818,-284.285553055239,271.883433331882,-9159.96673285986,-15222.7431773884
"BsmtHalfBath",-47496204.8301115,4951.08480084701,12.9798330463176,-1457.80930313567,-3744.51079063986,95.3258690119982,-2292.56155226856,-3347.79400904123,235.181970927025,494.697567390803,395.628351636584,267.567661070743,2262418.81811583,12393497.2011919,370238.093450268,276577.169622584,-297760.491181718,-168914.133367412,84973.1844910438,-231017.472186832,3173.24772519456,-168175.193778574,24.5790901316829,-1840.93491629172,862.672558283188,321.879715939277,-5982.05126761738,-309.301623159648,-6269.07441508162,-157.453192318327,-15699.3438103721,24929.832235482
"FullBath",216900126.085329,7277.16152723713,-3.9919515835552,-37893.2549419435,-17224.642620675,312.396947096651,100.909535758098,-163.566254694722,42.0757399867214,-2917.25396533045,-4452.54736390323,-2520.02138425236,784165.225076517,370238.093450268,5977894.58240487,2246236.20942239,-375143.233127597,-1723028.22873635,47231.5269934942,-65434.7630374565,-10062.7534049937,-828862.06783202,2094.70543310893,177.845941477829,-2183.26375161044,-159.40552940451,-1684.30904613377,-263.530993331084,2285.37492126166,153.017230804272,-3866.09767000927,-45392.6415156639
"HalfBath",157703551.234099,2133.65812358115,-11.1866809660118,-41557.2841550712,2027.17455275502,-409.144062798757,-259.562668210337,-780.265134965161,447.336071082437,-691.782063021289,-4890.93442884616,-1073.25090114489,403862.923546034,276577.169622584,2246236.20942239,5503451.55012045,23642.2959977885,-198490.154259413,-31117.5467002225,-227352.021233299,3048.20045695474,-440069.60259819,1141.70452979931,23.3179908770157,-1802.17366724533,349.878688192209,-752.476521639321,-1241.93764904068,2475.59350614134,-156.121960296546,11808.412337647,-44170.8833358244
"Bedroom",-18051662.6834392,-9107.22416507388,-0.530916023487796,-3491.37095577101,12367.3181762479,434.799134673961,243.02255429983,-268.632759113227,-266.247014998431,232.353145333047,-744.118789362625,6.97675496212317,110260.505596546,-297760.491181718,-375143.233127597,23642.2959977885,2143095.93811587,111092.971772778,-646744.510981694,271789.338347308,4995.7091632293,209264.42089147,123.717171844353,90.4117574338309,1481.3264181583,169.904194769429,1438.84679406093,-296.101964182512,974.581673368893,98.1340492279538,-16702.4300708982,-5371.6653767369
"Kitchen",124355486.381112,16846.0241543711,36.9735586199487,14707.8434076601,38620.400824214,1281.69947394874,226.096426794784,76.70101359507,2268.01870277443,-1513.68843319369,2462.61253549335,7699.65293817812,-889724.749445355,-168914.133367412,-1723028.22873635,-198490.154259413,111092.971772778,22784822.2100318,-1269996.28132856,1018488.0139806,16198.558387845,-906184.356448912,-740.194756838509,2502.20326599573,4170.92044110142,3862.65188009402,1724.6029419896,3817.28765006937,-1445.34500678887,38.5372504453142,-33892.3842362092,-137875.186500193
"TotRmsAbvGrd",-31227096.8903995,-3911.21150313922,-1.18378770869641,2627.96537741878,-3242.78061823826,-242.207604782264,129.644170493968,282.307463565476,-10.0408314590782,-1927.53066942916,-2014.08541959596,-2620.8165518999,-19096.1742447657,84973.1844910438,47231.5269934942,-31117.5467002225,-646744.510981694,-1269996.28132856,1096917.24702906,-84133.2748285487,-1545.7174014505,-246689.842622416,552.744263198817,-45.2053424768898,55.9871207391993,340.751567373687,877.205661045627,573.579680785162,1103.08546182155,-78.2293950482312,4202.73696887615,17388.8451374575
"Fireplaces",9112124.31297606,-1102.59774847577,-7.32252114797049,-4292.75334842737,3277.56771057977,-169.198083371854,-320.34672437081,-228.781589457546,250.856878282699,-1686.68165176914,-884.435416682889,-559.379776720472,-57223.2918873485,-231017.472186832,-65434.7630374565,-227352.021233299,271789.338347308,1018488.0139806,-84133.2748285487,2258495.07228322,8979.02257554735,-304929.372451321,1139.19637468944,-813.955093953495,185.094509305797,-606.571973002979,-140.74207879588,-2544.66211163457,-406.315815464669,176.392053693697,-4030.03514219865,-12378.5771712683
"GarageYrBlt",-2914346.91928985,327.178069157876,0.0855909886042967,-2256.70230431006,-721.151597247756,18.7935318470975,3.70618994543276,5.06839212545525,4.0371145133138,12.5011827975531,1.0581793637064,-96.370052577954,2067.84649905917,3173.24772519456,-10062.7534049937,3048.20045695474,4995.7091632293,16198.558387845,-1545.7174014505,8979.02257554735,4257.91464792832,-3309.13749310109,-155.954432286077,-27.1342998080764,-20.1137444132416,39.1996913697651,-32.7807343525122,15.2176457745033,14.2343569015145,-2.09282096173386,167.325417529631,199.901627796837
"GarageCars",-27303940.3489809,-1519.93047223616,-1.06950048143836,-12514.9067068955,-8477.1389100621,-175.546623603045,640.587324558525,726.531693539334,-150.689645516021,207.401838571939,298.279380873865,80.2034989467602,-306319.304057739,-168175.193778574,-828862.06783202,-440069.60259819,209264.42089147,-906184.356448912,-246689.842622416,-304929.372451321,-3309.13749310109,6222822.70162,-15054.0570383802,-144.134109758395,2533.12446342539,-566.857625477188,-37.8771528311585,248.562922834287,2324.11517186818,171.849604127256,-20186.2827106124,37190.9828929019
"GarageArea",380844.356709962,-52.3106746852283,-0.0292898705688563,66.5792513692957,27.65459939573,-2.60510060894642,-1.39644739232545,-0.718962097612009,-1.62475356757058,-5.28497375675316,-4.04564655737809,-1.38601790495654,256.378924640421,24.5790901316829,2094.70543310893,1141.70452979931,123.717171844353,-740.194756838509,552.744263198817,1139.19637468944,-155.954432286077,-15054.0570383802,74.9152394855052,-0.40126619492252,-8.71379490864939,-5.23494366460071,1.48905845158331,-3.78693188933029,-1.4522605610605,0.152465209964895,-0.908857142682542,-129.938716751131
"WoodDeckSf",64885.6852222238,7.24482460496128,-0.0516171866632866,5.42384939078346,-25.1583682752437,-0.358883813986005,-1.12764353714519,-3.18988939719187,0.0962143046837032,-2.19679944510181,-2.16250691798189,-1.00528674499493,-532.113329404495,-1840.93491629172,177.845941477829,23.3179908770157,90.4117574338309,2502.20326599573,-45.2053424768898,-813.955093953495,-27.1342998080764,-144.134109758395,-0.40126619492252,50.2862124438124,9.54372029770989,6.32973511903906,12.543300111213,10.7636955737244,-6.42504991531815,-0.724352591667943,-44.000810750386,12.5468722700136
"OpenPorchSF",-406108.102909136,-31.9137680236701,0.0439359149185033,10.832606506845,-57.0440624799275,5.09938466234969,0.374665613369481,-0.608878783226084,-3.81305878946455,-5.16951947403032,-6.76960875760033,-5.69820002696782,-594.234209859814,862.672558283188,-2183.26375161044,-1802.17366724533,1481.3264181583,4170.92044110142,55.9871207391993,185.094509305797,-20.1137444132416,2533.12446342539,-8.71379490864939,9.54372029770989,180.443285113223,8.36301438385617,11.6080935957901,-7.74558038504191,-2.67776408655948,-2.00454356631541,-143.803255112505,267.806548351852
"EnclosedPorch",-310735.886555621,-12.9448875809229,0.0217378814613529,140.133228333976,3.94124187498393,2.88377501749232,1.61769028620167,-0.147328902031465,-2.53232306626598,-0.291362795634897,-3.54317065164979,-12.7877163690053,-924.727006795096,321.879715939277,-159.40552940451,349.878688192209,169.904194769429,3862.65188009402,340.751567373687,-606.571973002979,39.1996913697651,-566.857625477188,-5.23494366460071,6.32973511903906,8.36301438385617,186.598816537015,13.5753189224543,21.3532824044884,-33.2892296574739,-0.256427456104765,87.6033121802502,-27.5105264936861
"`3SsnPorch`",785760.580983166,-60.5333372020249,0.0143727170765237,47.6575478449104,-17.2123166977994,-0.199862370903223,-0.499376613261372,5.03066785142913,-0.672642430160682,-1.95587369545964,-1.41301076079904,-4.36983835360107,-1360.90439410819,-5982.05126761738,-1684.30904613377,-752.476521639321,1438.84679406093,1724.6029419896,877.205661045627,-140.74207879588,-32.7807343525122,-37.8771528311585,1.48905845158331,12.543300111213,11.6080935957901,13.5753189224543,986.614565148478,17.7473190679777,5.59955903048564,-0.167283736597479,-286.395775665529,-390.718031472685
"ScreenPorch",-303531.886695019,1.19906755208383,-0.0357029900910951,49.3660638896831,20.622808444378,-1.45812817286797,-0.967390561238009,-3.18174518415087,0.925528109421436,-3.36758679012895,-0.635729415401726,-3.2226555134202,-260.985538481818,-309.301623159648,-263.530993331084,-1241.93764904068,-296.101964182512,3817.28765006937,573.579680785162,-2544.66211163457,15.2176457745033,248.562922834287,-3.78693188933029,10.7636955737244,-7.74558038504191,21.3532824044884,17.7473190679777,199.694762991496,-3.86952543911903,-0.0604455597113559,-102.799915509422,66.0039355193572
"PoolArea",-1567494.85649447,-104.063139345389,-0.0416980306843778,-77.6560268144055,34.3657093976763,8.60424755612636,-2.17601661273146,-3.72668957233754,3.72360262567484,-13.0807552310838,-11.7043484953238,-23.8818226454265,-284.285553055239,-6269.07441508162,2285.37492126166,2475.59350614134,974.581673368893,-1445.34500678887,1103.08546182155,-406.315815464669,14.2343569015145,2324.11517186818,-1.4522605610605,-6.42504991531815,-2.67776408655948,-33.2892296574739,5.59955903048564,-3.86952543911903,492.328787492299,0.44200434449005,468.343438162438,811.357728492079
"Miscval",40620.6602525766,1.98674012431327,-0.009214639530001,2.67598735065899,1.56310585690837,-0.127508595445826,-0.372824594546961,0.0124748966550262,-0.0612619980000643,-0.463100208223306,0.00779359190870956,0.295887886066733,271.883433331882,-157.453192318327,153.017230804272,-156.121960296546,98.1340492279538,38.5372504453142,-78.2293950482312,176.392053693697,-2.09282096173386,171.849604127256,0.152465209964895,-0.724352591667943,-2.00454356631541,-0.256427456104765,-0.167283736597479,-0.0604455597113559,0.44200434449005,2.54133334627453,-11.296645998657,-22.2153446888779
"Mosold",-61889345.8832878,108.241203139206,0.0766631084555038,154.259454515049,-353.051542272229,26.2578347189048,-3.99912190196647,8.97538413725109,37.558662363817,-31.1579349869242,4.74652363404613,-112.91632148112,-9159.96673285986,-15699.3438103721,-3866.09767000927,11808.412337647,-16702.4300708982,-33892.3842362092,4202.73696887615,-4030.03514219865,167.325417529631,-20186.2827106124,-0.908857142682542,-44.000810750386,-143.803255112505,87.6033121802502,-286.395775665529,-102.799915509422,468.343438162438,-11.296645998657,87428.0542088717,30635.1220107766
"YrSold",-737198809.972516,-494.393650584275,1.36664155771206,798.414297278716,-2210.1376830287,57.2022072977485,-47.8315254562849,-76.511522404752,12.3462035593063,34.6881456053251,63.7576770721372,-377.796171182328,-15222.7431773884,24929.832235482,-45392.6415156639,-44170.8833358244,-5371.6653767369,-137875.186500193,17388.8451374575,-12378.5771712683,199.901627796837,37190.9828929019,-129.938716751131,12.5468722700136,267.806548351852,-27.5105264936861,-390.718031472685,66.0039355193572,811.357728492079,-22.2153446888779,30635.1220107766,368325.95918006
